"IDCNTRY","Var","Min","FirstQ","Median","Mean","ThirdQ","Max","NACount","n"
"Abu Dhabi, UAE","adClickTotal","0","0",0,1.9570351758794,0,343,NA,3980
"Dubai, UAE","adClickTotal","0","0",0,1.01499330655957,0,261,1,7471
"United Arab Emirates","adClickTotal","0","0",0,1.37526501766784,0,343,1,15566
"Canada","adClickTotal","0","0",0,0.525535046993545,0,249,40,8871
"Denmark","adClickTotal","0","0",0,0.510375099760575,0,60,NA,2506
"Georgia","adClickTotal","0","0",0,0.687961130106172,0,59,NA,5557
"Ireland","adClickTotal","0","0",0,0.659118479579458,0,289,NA,2473
"Israel","adClickTotal","0","0",0,1.02053712480253,0,368,NA,3798
"Italy","adClickTotal","0","0",0,0.506769312450226,0,119,NA,3767
"Norway (5th Grade)","adClickTotal","0","0",0,0.957464553794829,0,268,13,3610
"Portugal","adClickTotal","0","0",0,0.484203598069329,0,93,NA,4558
"Singapore","adClickTotal","0","0",0,1.30316455696203,0,159,NA,6320
"Slovenia","adClickTotal","0","0",0,0.42458749709505,0,145,NA,4303
"Sweden","adClickTotal","0","0",0,0.488012374323279,0,374,NA,3879
"Chinese Taipei","adClickTotal","0","0",0,3.04698767155152,1,631,NA,4299
"United States","adClickTotal","0","0",0,0.957681017612524,0,295,2,4090
