"IDCNTRY","EqVar","groupA","groupB","pctA","pctAse","pctB","pctBse","diffAB","covAB","diffABse","diffABpValue","dofAB","n0A","n0B","nUsedA","nUsedB"
"Abu Dhabi, UAE","en11tadz_d_clicked","GIRL","BOY",32.1570187093667,4.61279712897139,67.8429812906333,4.61279712897139,-35.6859625812666,-21.2778973530467,9.22559425794278,0.000250819499427291,66.9769323675955,3980,3980,339,632
"Dubai, UAE","en11tadz_d_clicked","GIRL","BOY",35.9241066548737,2.95259269672851,64.0758933451263,2.95259269672851,-28.1517866902527,-8.71780363277454,5.90518539345702,9.70134615441154e-06,70.6547917098541,7521,7521,451,753
"United Arab Emirates","en11tadz_d_clicked","GIRL","BOY",34.0687641955105,2.3565481820265,65.9312358044895,2.35654818202651,-31.8624716089789,-5.55331933421242,4.71309636405301,1.91385662873245e-09,81.3950634786733,15648,15648,1144,1999
"Canada","en11tadz_d_clicked","GIRL","BOY",37.4255388135266,3.82434637379401,62.5744611864734,3.82434637379402,-25.1489223729468,-14.6256251867514,7.64869274758803,0.0024733488295674,31.6989546797044,9154,9154,302,519
"Denmark","en11tadz_d_clicked","GIRL","BOY",38.1586402531401,3.40853917239929,61.8413597468599,3.40853917239929,-23.6827194937198,-11.6181392897804,6.81707834479858,0.000710316002357825,122.039100783711,2506,2506,95,153
"Georgia","en11tadz_d_clicked","GIRL","BOY",42.6727281192006,2.32815396323241,57.3272718807994,2.32815396323242,-14.6545437615987,-5.42030087651481,4.65630792646483,0.00206390341767704,124.156665502394,5557,5557,422,518
"Ireland","en11tadz_d_clicked","GIRL","BOY",39.9263468977506,3.81344944702408,60.0736531022494,3.81344944702409,-20.1473062044987,-14.5423966850083,7.62689889404817,0.0115051715422978,42.4247145845489,2473,2473,93,155
"Israel","en11tadz_d_clicked","GIRL","BOY",40.1533295116444,2.0256005321271,59.8466704883556,2.02560053212709,-19.6933409767113,-4.10305751575357,4.05120106425419,3.45456763373164e-06,124.15562206669,3798,3798,244,365
"Italy","en11tadz_d_clicked","GIRL","BOY",39.6489607732391,2.4539624167578,60.3510392267609,2.4539624167578,-20.7020784535218,-6.02193154285979,4.90792483351561,4.81935960936486e-05,119.522535458685,3767,3767,184,278
"Norway (5th Grade)","en11tadz_d_clicked","GIRL","BOY",37.2994395051128,2.46262168360166,62.7005604948872,2.46262168360167,-25.4011209897743,-6.0645055565451,4.92524336720333,9.02497769406096e-07,131.062316762058,3610,3610,163,273
"Portugal","en11tadz_d_clicked","GIRL","BOY",34.2554424392142,2.49808063962283,65.7445575607858,2.49808063962283,-31.4891151215716,-6.24040688205841,4.99616127924566,4.96085839074567e-09,120.77995702376,4558,4558,170,311
"Singapore","en11tadz_d_clicked","GIRL","BOY",32.6480461017018,1.83697113096328,67.3519538982982,1.83697113096328,-34.7039077965963,-3.37446293599251,3.67394226192656,2.22044604925031e-15,95.7608877639967,6320,6320,290,594
"Slovenia","en11tadz_d_clicked","GIRL","BOY",43.0141464627379,2.63749168761216,56.9858535372621,2.63749168761216,-13.9717070745241,-6.95636240222326,5.27498337522433,0.00903706438555751,135.977139811159,4303,4303,162,211
"Sweden","en11tadz_d_clicked","GIRL","BOY",36.7192297085792,3.51804106519204,63.2807702914208,3.51804106519204,-26.5615405828416,-12.3766129363776,7.03608213038409,0.000287406233164145,89.4485843091226,3879,3879,104,169
"Chinese Taipei","en11tadz_d_clicked","GIRL","BOY",33.1395624261685,1.69371850591426,66.8604375738315,1.69371850591426,-33.720875147663,-2.86868237727644,3.38743701182853,0,132.863646945795,4299,4299,385,783
"United States","en11tadz_d_clicked","GIRL","BOY",40.4208733212327,2.35932330397812,59.5791266787673,2.35932330397811,-19.1582533575345,-5.56640645269421,4.71864660795623,9.10886293796764e-05,112.209565495377,4090,4090,212,330
