"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","erea","(Intercept)",3980,3980,455.498301420322,4.267490380117,106.736808017792,"57.8591798790756",0,0.147693602618702
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked1",3980,3980,-89.677387505696,5.68660907440675,-15.7699230476911,"109.036793214822",6.74620184230867e-30,0.147693602618702
"Dubai, UAE","erea","(Intercept)",7521,7470,536.29836686815,1.44691426562729,370.649719619459,"83.4938711846998",0,0.0530280304796299
"Dubai, UAE","erea","adClickTotal_d_clicked1",7521,7470,-57.5225594318892,4.23853478639254,-13.5713312101532,"87.0805226599039",3.36385173561675e-23,0.0530280304796299
"United Arab Emirates","erea","(Intercept)",15648,15565,487.20111639701,2.18049385886893,223.43613324815,"72.3957649610969",0,0.126861552550009
"United Arab Emirates","erea","adClickTotal_d_clicked1",15648,15565,-88.0652663483575,3.04103471336376,-28.958980955185,"129.608496974538",1.9009984404528e-58,0.126861552550009
"Canada","erea","(Intercept)",9154,8831,545.937892242827,2.77953822079771,196.413162502276,"32.5109333200332",0,0.0192127150832185
"Canada","erea","adClickTotal_d_clicked1",9154,8831,-35.5508024649633,6.78324367432638,-5.24097381309153,"28.3546549827609",1.38449444698477e-05,0.0192127150832185
"Denmark","erea","(Intercept)",2506,2506,560.385882281849,2.23539586561491,250.687536333838,"150.002114927557",0,0.00900957069441936
"Denmark","erea","adClickTotal_d_clicked1",2506,2506,-20.8135762080473,4.73523096601656,-4.39547222879318,"109.2954628515",2.57228350004939e-05,0.00900957069441936
"Georgia","erea","(Intercept)",5557,5557,484.034056442779,2.92746934136461,165.342143674561,"100.876751519561",0,0.0461415702841299
"Georgia","erea","adClickTotal_d_clicked1",5557,5557,-41.8000083082296,4.67224108996649,-8.94645792101653,"95.9562355051872",2.73481439930893e-14,0.0461415702841299
"Ireland","erea","(Intercept)",2473,2473,569.009769345769,2.16789897841522,262.470610951497,"121.967405657173",0,0.00878599753987732
"Ireland","erea","adClickTotal_d_clicked1",2473,2473,-21.9711893567838,7.98639381063164,-2.75107762999808,"41.2767285817566",0.00878158020415331,0.00878599753987732
"Israel","erea","(Intercept)",3798,3798,546.157509242573,2.23408444749942,244.465919743491,"84.9316972114092",0,0.0785460957481932
"Israel","erea","adClickTotal_d_clicked1",3798,3798,-62.7509753939316,5.31944496752067,-11.7965268514055,"94.9787099090756",2.5916226576016e-20,0.0785460957481932
"Italy","erea","(Intercept)",3767,3767,535.223913484679,2.14820075756972,249.14985789791,"95.6968283003759",0,0.0149561115873584
"Italy","erea","adClickTotal_d_clicked1",3767,3767,-23.5108161648639,4.15165550940539,-5.66299783582747,"118.125623643392",1.06351026640473e-07,0.0149561115873584
"Norway (5th Grade)","erea","(Intercept)",3610,3597,568.971236485826,2.11217539580928,269.376888687705,"165.951351914747",0,0.00348975286594859
"Norway (5th Grade)","erea","adClickTotal_d_clicked1",3610,3597,-11.423947325118,3.88039982254555,-2.94401294906355,"102.648345031268",0.00400726879655008,0.00348975286594859
"Portugal","erea","(Intercept)",4558,4558,526.791432902923,2.17613465572066,242.076670907328,"45.4452157508104",0,0.039909274478825
"Portugal","erea","adClickTotal_d_clicked1",4558,4558,-40.7189331243963,4.10205556280872,-9.92647040024871,"77.6946135014707",1.81924457927208e-15,0.039909274478825
"Singapore","erea","(Intercept)",6320,6320,588.47235568653,3.0377487884774,193.719888200988,"165.749427269477",0,0.000125593114649415
"Singapore","erea","adClickTotal_d_clicked1",6320,6320,-2.42525556902095,3.90120025126308,-0.621669079467461,"107.11877812474",0.535480331479672,0.000125593114649415
"Slovenia","erea","(Intercept)",4303,4303,526.426897638636,2.04155419335586,257.855950800555,"52.3377104852755",0,0.00458612917218656
"Slovenia","erea","adClickTotal_d_clicked1",4303,4303,-16.267755158675,4.97512479458501,-3.26981851317198,"83.4774378038488",0.00156462341401721,0.00458612917218656
"Sweden","erea","(Intercept)",3879,3879,560.462113144621,2.25911001567988,248.089782814739,"104.482521485253",0,0.00522105518590839
"Sweden","erea","adClickTotal_d_clicked1",3879,3879,-18.7712285435586,6.26935869340442,-2.99412259874468,"67.7813161361387",0.00383934547758938,0.00522105518590839
"Chinese Taipei","erea","(Intercept)",4299,4299,549.646648940564,2.02244478329315,271.773377192318,"172.814088549465",0,0.00952842526536944
"Chinese Taipei","erea","adClickTotal_d_clicked1",4299,4299,-14.4127329557026,2.79970107287249,-5.14795422102516,"73.6951818189734",2.11263411947376e-06,0.00952842526536944
"United States","erea","(Intercept)",4090,4088,559.217603380088,2.38254541401661,234.714352175697,"147.735232832474",0,0.00876212935583018
"United States","erea","adClickTotal_d_clicked1",4090,4088,-20.4758375916678,4.94872469909584,-4.13759884347756,"121.066465951908",6.51319388635629e-05,0.00876212935583018
