"IDCNTRY","YVar","EqVar","EqVar1Value","EqVar2Value","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked + itsex","0","GIRL",1603,10631.635234,52.9934115217399,3.23248297495312,463.833652863303,"6.34463241777166",3980,3980
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked + itsex","0","BOY",1406,9430.54783499999,47.0065884782601,3.2324829749531,446.101348280446,"6.16990180232035",3980,3980
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked + itsex","1","GIRL",339,2357.566203,32.1570187093667,4.61279712897139,393.207492208238,"10.1163745710093",3980,3980
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked + itsex","1","BOY",632,4973.85411399999,67.8429812906333,4.61279712897138,352.839899610432,"6.58968372535543",3980,3980
"Dubai, UAE","erea","adClickTotal_d_clicked + itsex","0","GIRL",3161,9225.68722099999,50.3060769819499,3.2268155053788,539.762968384947,"2.4075723205059",7521,7470
"Dubai, UAE","erea","adClickTotal_d_clicked + itsex","0","BOY",3105,9113.42362699999,49.6939230180501,3.2268155053788,532.791086701262,"2.46779568257577",7521,7470
"Dubai, UAE","erea","adClickTotal_d_clicked + itsex","1","GIRL",451,1152.356545,35.9241066548737,2.95259269672851,486.550986219361,"8.01914827091544",7521,7470
"Dubai, UAE","erea","adClickTotal_d_clicked + itsex","1","BOY",753,2055.396277,64.0758933451263,2.95259269672851,474.416658663095,"6.20240326035913",7521,7470
"United Arab Emirates","erea","adClickTotal_d_clicked + itsex","0","GIRL",6487,31471.15662,52.9753459945957,1.91940459967465,493.785181366193,"3.13517617357987",15648,15565
"United Arab Emirates","erea","adClickTotal_d_clicked + itsex","0","BOY",5935,27936.018603,47.0246540054043,1.91940459967465,479.783876926151,"3.58528119253166",15648,15565
"United Arab Emirates","erea","adClickTotal_d_clicked + itsex","1","GIRL",1144,5519.46254499999,34.0687641955105,2.3565481820265,421.295851869246,"6.35819862768998",15648,15565
"United Arab Emirates","erea","adClickTotal_d_clicked + itsex","1","BOY",1999,10681.48479,65.9312358044895,2.3565481820265,387.685073077997,"4.88470818302678",15648,15565
"Canada","erea","adClickTotal_d_clicked + itsex","0","GIRL",4119,117434.190259,50.8736130374462,0.925693793343957,549.589098256585,"3.28150233574822",9154,8830
"Canada","erea","adClickTotal_d_clicked + itsex","0","BOY",3890,113400.978009,49.1263869625539,0.925693793343958,542.173799232346,"3.63187668217824",9154,8830
"Canada","erea","adClickTotal_d_clicked + itsex","1","GIRL",302,8797.47968099999,37.4255388135266,3.82434637379401,507.32508289438,"12.0070032298075",9154,8830
"Canada","erea","adClickTotal_d_clicked + itsex","1","BOY",519,14709.141626,62.5744611864734,3.82434637379402,512.218464036504,"7.69612408818886",9154,8830
"Denmark","erea","adClickTotal_d_clicked + itsex","0","GIRL",1177,26023.707446,52.4227665683525,0.968534116615602,561.882138015368,"3.00435314620068",2506,2506
"Denmark","erea","adClickTotal_d_clicked + itsex","0","BOY",1081,23618.288102,47.5772334316475,0.968534116615605,558.737239446042,"3.1366947866455",2506,2506
"Denmark","erea","adClickTotal_d_clicked + itsex","1","GIRL",95,2123.537334,38.1586402531401,3.40853917239929,541.055762312301,"6.93130678793291",2506,2506
"Denmark","erea","adClickTotal_d_clicked + itsex","1","BOY",153,3441.486262,61.8413597468599,3.40853917239929,538.656953093729,"6.48898632665649",2506,2506
"Georgia","erea","adClickTotal_d_clicked + itsex","0","GIRL",2297,17491.336719,50.3157027724869,0.936496626319576,490.819865517248,"3.18016772781756",5557,5557
"Georgia","erea","adClickTotal_d_clicked + itsex","0","BOY",2320,17271.840093,49.6842972275131,0.936496626319576,477.162010917051,"3.3187656129123",5557,5557
"Georgia","erea","adClickTotal_d_clicked + itsex","1","GIRL",422,3051.369063,42.6727281192006,2.32815396323241,449.081598729577,"5.93177828480838",5557,5557
"Georgia","erea","adClickTotal_d_clicked + itsex","1","BOY",518,4099.261322,57.3272718807994,2.32815396323242,437.136933703022,"7.69863486974759",5557,5557
