"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked","0",3009,20062.183069,73.2367435795363,1.0413257985627,455.498301420322,"4.26749038011834",3980,3980
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked","1",971,7331.42031699999,26.7632564204637,1.0413257985627,365.82091391463,"4.90709505092582",3980,3980
"Dubai, UAE","erea","adClickTotal_d_clicked","0",6266,18339.110848,85.1126694300934,0.516399189724157,536.298366868145,"1.44691426562626",7521,7470
"Dubai, UAE","erea","adClickTotal_d_clicked","1",1204,3207.752822,14.8873305699066,0.516399189724156,478.775807436259,"4.30932530499152",7521,7470
"United Arab Emirates","erea","adClickTotal_d_clicked","0",12422,59407.1752229999,78.5724776824447,0.580508654662343,487.201116397006,"2.18049385886967",15648,15565
"United Arab Emirates","erea","adClickTotal_d_clicked","1",3143,16200.947335,21.4275223175553,0.58050865466234,399.13585004866,"3.01113624290044",15648,15565
"Canada","erea","adClickTotal_d_clicked","0",8010,230856.834766,90.7586484041741,0.816971109091058,545.937892242829,"2.77953822079646",9154,8831
"Canada","erea","adClickTotal_d_clicked","1",821,23506.621307,9.24135159582586,0.81697110909106,510.387089777864,"7.91825210457443",9154,8831
"Denmark","erea","adClickTotal_d_clicked","0",2258,49641.9955479999,89.91971730717,0.637384510262558,560.385882281851,"2.23539586561485",2506,2506
"Denmark","erea","adClickTotal_d_clicked","1",248,5565.02359599999,10.08028269283,0.637384510262556,539.572306073803,"4.82523114258172",2506,2506
"Georgia","erea","adClickTotal_d_clicked","0",4617,34763.176812,82.9396782034351,0.852163869671504,484.034056442777,"2.92746934136324",5557,5557
"Georgia","erea","adClickTotal_d_clicked","1",940,7150.63038499999,17.060321796565,0.8521638696715,442.234048134554,"5.89734282734426",5557,5557
"Ireland","erea","adClickTotal_d_clicked","0",2225,55316.8231049999,89.9375994697085,0.916195873164967,569.009769345766,"2.16789897841538",2473,2473
"Ireland","erea","adClickTotal_d_clicked","1",248,6188.95804899999,10.0624005302915,0.916195873164969,547.038579988979,"8.80792930530962",2473,2473
"Israel","erea","adClickTotal_d_clicked","0",3189,86503.7176729999,84.025755763856,0.651014874628494,546.157509242573,"2.23408444749908",3798,3798
"Israel","erea","adClickTotal_d_clicked","1",609,16445.332754,15.974244236144,0.651014874628495,483.406533848647,"5.50646626137954",3798,3798
"Italy","erea","adClickTotal_d_clicked","0",3305,460970.975245,88.2648470204295,0.614167636017986,535.223913484678,"2.14820075757038",3767,3767
"Italy","erea","adClickTotal_d_clicked","1",462,61287.8750289999,11.7351529795705,0.614167636017984,511.713097319818,"4.29216919472038",3767,3767
"Norway (5th Grade)","erea","adClickTotal_d_clicked","0",3161,49900.9542029999,88.0456684947847,0.692095459276923,568.971236485824,"2.11217539581034",3610,3597
"Norway (5th Grade)","erea","adClickTotal_d_clicked","1",436,6775.26287399999,11.9543315052153,0.692095459276924,557.547289160702,"4.59832083180755",3610,3597
"Portugal","erea","adClickTotal_d_clicked","0",4077,83191.4408209999,89.1818707143143,0.597923732299048,526.791432902925,"2.17613465572016",4558,4558
"Portugal","erea","adClickTotal_d_clicked","1",481,10091.465396,10.8181292856857,0.59792373229905,486.072499778525,"4.51971391556611",4558,4558
"Singapore","erea","adClickTotal_d_clicked","0",5436,33588.113992,85.8438325507916,0.509267331333903,588.47235568653,"3.03774878848029",6320,6320
"Singapore","erea","adClickTotal_d_clicked","1",884,5538.88324699999,14.1561674492084,0.509267331333904,586.047100117515,"4.68819500011278",6320,6320
"Slovenia","erea","adClickTotal_d_clicked","0",3930,17801.816405,91.2883739151226,0.532217674561727,526.426897638635,"2.04155419335621",4303,4303
"Slovenia","erea","adClickTotal_d_clicked","1",373,1698.822769,8.71162608487738,0.532217674561719,510.159142479962,"4.79447641043998",4303,4303
"Sweden","erea","adClickTotal_d_clicked","0",3606,97790.5544679999,93.2957334202198,0.564717872928867,560.462113144621,"2.25911001567959",3879,3879
"Sweden","erea","adClickTotal_d_clicked","1",273,7027.26611499999,6.70426657978016,0.564717872928865,541.690884601059,"6.70904906756889",3879,3879
"Chinese Taipei","erea","adClickTotal_d_clicked","0",3131,142878.569609,72.2580512033804,0.997511477966592,549.646648940561,"2.02244478329449",4299,4299
"Chinese Taipei","erea","adClickTotal_d_clicked","1",1168,54855.2015479999,27.7419487966196,0.997511477966601,535.233915984856,"3.04791176218917",4299,4299
"United States","erea","adClickTotal_d_clicked","0",3546,3109422.797449,86.9024455117719,0.834681132936586,559.217603380089,"2.38254541401669",4090,4088
"United States","erea","adClickTotal_d_clicked","1",542,468638.532283999,13.0975544882281,0.834681132936586,538.741765788425,"5.95742333752696",4090,4088
