"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","ItemReached_count","(Intercept)",3980,3947,30.6309778967255,0.190070546246486,161.155836617646,"38.9358122979539",0,0.000365884195169697
"Abu Dhabi, UAE","ItemReached_count","adClickTotal_d_clicked1",3980,3947,-0.194402376545744,0.236338485862855,-0.822559118274771,"54.6037693950789",0.414336477256811,0.000365884195169697
"Abu Dhabi, UAE","lastItemReached_d","(Intercept)",3980,3947,1.71853522087991,0.0177411359538335,96.8672595346735,"86.8241416770008",0,0.00099938855602571
"Abu Dhabi, UAE","lastItemReached_d","adClickTotal_d_clicked1",3980,3947,-0.0324290613809556,0.023238916492416,-1.39546357040952,"82.215065338397",0.166633885800887,0.00099938855602571
"Dubai, UAE","ItemReached_count","(Intercept)",7521,7452,24.7106206398241,0.0410914238605187,601.357128039714,"93.0417242718295",0,0.00321213269822635
"Dubai, UAE","ItemReached_count","adClickTotal_d_clicked1",7521,7452,-0.483809020281242,0.113903070875084,-4.24755027730403,"88.5146652824899",5.32451895729427e-05,0.00321213269822635
"Dubai, UAE","lastItemReached_d","(Intercept)",7521,7452,1.85025933748032,0.0054757064922584,337.903308019931,"81.0471286129333",0,0.00534263649989007
"Dubai, UAE","lastItemReached_d","adClickTotal_d_clicked1",7521,7452,-0.075497450013588,0.0135351592481257,-5.57787674526569,"112.563355992178",1.69654506687465e-07,0.00534263649989007
"United Arab Emirates","ItemReached_count","(Intercept)",15648,15499,32.9562222430889,0.0775473972187283,424.981668309684,"78.9577981553363",0,0.00243005446305376
"United Arab Emirates","ItemReached_count","adClickTotal_d_clicked1",15648,15499,-0.482769266956931,0.128375555861154,-3.76060118079703,"96.1803726064183",0.00029112662668854,0.00243005446305376
"United Arab Emirates","lastItemReached_d","(Intercept)",15648,15499,1.7390632073166,0.0101687485133835,171.020377289079,"61.529454506791",0,0.00311087225107006
"United Arab Emirates","lastItemReached_d","adClickTotal_d_clicked1",15648,15499,-0.0606578571502555,0.0137405318308532,-4.41452033276132,"83.9196916931447",2.99381877089638e-05,0.00311087225107006
"Canada","ItemReached_count","(Intercept)",9154,8806,33.7648572691047,0.0616902943533391,547.328516147323,"64.2713345472395",0,0.00173256092275995
"Canada","ItemReached_count","adClickTotal_d_clicked1",9154,8806,-0.456142022811299,0.273852283285782,-1.66564988006796,"14.6655070627565",0.116993215558222,0.00173256092275995
"Canada","lastItemReached_d","(Intercept)",9154,8806,1.8739629912618,0.00692307194371038,270.683737869328,"46.6263316843269",0,0.00382547929773191
"Canada","lastItemReached_d","adClickTotal_d_clicked1",9154,8806,-0.0724247998986304,0.0361036203449294,-2.00602596655662,"23.0897679483029",0.0567068838799014,0.00382547929773191
"Denmark","ItemReached_count","(Intercept)",2506,2506,20.846196345902,0.0594106076285767,350.883405809082,"80.2624292878388",0,0.000175787548055581
"Denmark","ItemReached_count","adClickTotal_d_clicked1",2506,2506,0.121227827621684,0.249182500804426,0.486502171020554,"82.1611058473076",0.627906391726351,0.000175787548055581
"Denmark","lastItemReached_d","(Intercept)",2506,2506,1.87787102000889,0.00861105732009404,218.076706518589,"105.254134440305",0,0.000732911613537034
"Denmark","lastItemReached_d","adClickTotal_d_clicked1",2506,2506,-0.0297516831219041,0.0273742030153744,-1.0868511169145,"94.9742491172232",0.279853306885906,0.000732911613537034
"Georgia","ItemReached_count","(Intercept)",5557,5541,27.8975099911035,0.156686870306812,178.046251970422,"86.1552606746293",0,0.00128022069729625
"Georgia","ItemReached_count","adClickTotal_d_clicked1",5557,5541,-0.423183803450062,0.170797624323254,-2.47769139135763,"134.825912102082",0.0144595107658396,0.00128022069729625
"Georgia","lastItemReached_d","(Intercept)",5557,5541,1.57368237937148,0.0171581917883731,91.7160968230844,"113.597842513482",0,0.00121046178632028
"Georgia","lastItemReached_d","adClickTotal_d_clicked1",5557,5541,-0.0458296124253149,0.0253081224364646,-1.81086576218244,"105.227864439741",0.0730148702461683,0.00121046178632028
"Ireland","ItemReached_count","(Intercept)",2473,2473,20.0445638666257,0.0589107195892875,340.25325112937,"39.5899382804616",0,3.8213041245792e-05
"Ireland","ItemReached_count","adClickTotal_d_clicked1",2473,2473,-0.0504415833125884,0.173461466424665,-0.290794170903054,"67.2084289868415",0.772104226656058,3.8213041245792e-05
"Ireland","lastItemReached_d","(Intercept)",2473,2473,1.92814144676287,0.00790290244085074,243.978900308341,"55.3872213226514",0,0.00235015444940951
