"IDCNTRY","EqVar","groupA","groupB","pctA","pctAse","pctB","pctBse","diffAB","covAB","diffABse","diffABpValue","dofAB","n0A","n0B","nUsedA","nUsedB"
"Abu Dhabi, UAE","en11madz_d_clicked","GIRL","BOY",31.3540192863,5.11677110625063,68.6459807137,5.11677110625064,-37.2919614274,-26.1813465537614,10.2335422125013,0.000546908672093505,62.5889609444193,3980,3980,93,189
"Abu Dhabi, UAE","en11radz_d_clicked","GIRL","BOY",27.9761531128312,6.00340304639551,72.0238468871688,6.00340304639552,-44.0476937743376,-36.0408481374709,12.006806092791,0.000522658152313671,59.5025718779012,3980,3980,53,109
"Abu Dhabi, UAE","en11badz_d_clicked","GIRL","BOY",33.5546941342462,5.54016111945018,66.4453058657538,5.54016111945019,-32.8906117315075,-30.6933852294675,11.0803222389004,0.00389292011082754,84.6177038444988,3980,3980,107,181
"Abu Dhabi, UAE","en11zadz_d_clicked","GIRL","BOY",31.3923139541825,4.93461231986602,68.6076860458174,4.934612319866,-37.2153720916349,-24.3503987473734,9.86922463973202,0.000311425070957938,79.4835048448558,3980,3980,87,184
"Abu Dhabi, UAE","en11tadz_d_clicked","GIRL","BOY",28.7416634323269,5.45027959727759,71.2583365676731,5.45027959727759,-42.5166731353463,-29.7055476885003,10.9005591945552,0.000197389380227619,80.9203219187973,3980,3980,74,158
"Dubai, UAE","en11madz_d_clicked","GIRL","BOY",39.6795775571491,4.45411548492938,60.3204224428509,4.45411548492938,-20.6408448857018,-19.8391447530877,8.90823096985876,0.0261688947279171,36.8194562424525,7521,7521,141,213
"Dubai, UAE","en11radz_d_clicked","GIRL","BOY",32.266376179347,4.96508524565291,67.733623820653,4.96508524565292,-35.4672476413059,-24.6520714966003,9.93017049130584,0.00105512000888019,35.0303497689607,7521,7521,91,176
"Dubai, UAE","en11badz_d_clicked","GIRL","BOY",34.8822124377718,3.24689418638055,65.1177875622282,3.24689418638055,-30.2355751244565,-10.5423218575518,6.49378837276111,1.63701287561047e-05,65.0551141769962,7521,7521,123,206
"Dubai, UAE","en11zadz_d_clicked","GIRL","BOY",28.9954462645546,3.2025020192076,71.0045537354454,3.2025020192076,-42.0091074708908,-10.2560191830287,6.4050040384152,8.08426658949202e-09,69.5105692217645,7521,7521,90,203
"Dubai, UAE","en11tadz_d_clicked","GIRL","BOY",32.0121239435356,4.15736714208298,67.9878760564644,4.15736714208298,-35.9757521129288,-17.2837015540712,8.31473428416596,4.35407377654684e-05,79.6307450319997,7521,7521,79,150
"United Arab Emirates","en11madz_d_clicked","GIRL","BOY",32.3492175064802,2.61345330749382,67.6507824935198,2.61345330749382,-35.3015649870396,-6.83013819045041,5.22690661498765,2.07622812276043e-08,46.2740760260321,15648,15648,315,568
"United Arab Emirates","en11radz_d_clicked","GIRL","BOY",33.4712125089546,3.23796937317885,66.5287874910454,3.23796937317885,-33.0575749820907,-10.4844456616442,6.4759387463577,1.39656304698477e-06,110.168793945187,15648,15648,215,402
"United Arab Emirates","en11badz_d_clicked","GIRL","BOY",33.5392224985255,2.77399785401989,66.4607775014745,2.77399785401988,-32.9215550029491,-7.69506409410691,5.54799570803976,4.62292142344722e-08,96.5295084465615,15648,15648,332,564
"United Arab Emirates","en11zadz_d_clicked","GIRL","BOY",32.3996323624132,2.80291902117075,67.6003676375868,2.80291902117074,-35.2007352751736,-7.85635503924077,5.60583804234149,1.257755277706e-08,87.9106018972397,15648,15648,268,569
"United Arab Emirates","en11tadz_d_clicked","GIRL","BOY",31.1777596130637,3.24924640640975,68.8222403869363,3.24924640640977,-37.6444807738726,-10.5576022095667,6.49849281281952,6.06756207499615e-08,115.739170825837,15648,15648,233,460
"Canada","en11madz_d_clicked","GIRL","BOY",39.5811809252443,7.74521403487151,60.4188190747557,7.74521403487151,-20.8376381495114,-59.9883404459706,15.490428069743,0.195550265589507,17.6946472156289,9154,9154,121,185
"Canada","en11radz_d_clicked","GIRL","BOY",50.4655187392233,6.36913416315585,49.5344812607767,6.36913416315584,0.931037478446548,-40.5658699882789,12.7382683263117,0.942066564162868,43.9135935139624,9154,9154,58,99
"Canada","en11badz_d_clicked","GIRL","BOY",28.9449628034698,6.0400223437726,71.0550371965303,6.0400223437726,-42.1100743930605,-36.4818699132723,12.0800446875452,0.001704505335967,26.8245900190723,9154,9154,56,123
"Canada","en11zadz_d_clicked","GIRL","BOY",27.7807601224249,8.97398184365487,72.2192398775751,8.97398184365487,-44.4384797551503,-80.5323501302473,17.9479636873097,0.0240484062927062,17.0794944967784,9154,9154,48,100
"Canada","en11tadz_d_clicked","GIRL","BOY",25.4596676295749,6.89661026797239,74.5403323704251,6.89661026797239,-49.0806647408501,-47.5632331883022,13.7932205359448,0.00376045900566302,12.3763469225465,9154,9154,38,94
"Denmark","en11madz_d_clicked","GIRL","BOY",32.3242603538269,5.96953638661002,67.6757396461731,5.96953638661002,-35.3514792923463,-35.635364671061,11.93907277322,0.00376618706034071,108.660439660701,2506,2506,29,58
"Denmark","en11radz_d_clicked","GIRL","BOY",46.6935486994072,8.42735090539856,53.3064513005928,8.42735090539856,-6.6129026011857,-71.0202432827219,16.8547018107971,0.695634127286134,100.268311410714,2506,2506,16,21
"Denmark","en11badz_d_clicked","GIRL","BOY",22.7544804506241,5.32392246906242,77.2455195493759,5.32392246906242,-54.4910390987518,-28.3441504565877,10.6478449381248,1.97607755536566e-06,82.7067430148645,2506,2506,16,53
"Denmark","en11zadz_d_clicked","GIRL","BOY",52.6290716473147,9.60096261463023,47.3709283526853,9.60096261463024,5.25814329462946,-92.1784831275274,19.2019252292605,0.785221554914065,55.8900273296982,2506,2506,17,18
"Denmark","en11tadz_d_clicked","GIRL","BOY",47.9087531139271,8.23935616390434,52.091246886073,8.23935616390435,-4.18249377214588,-67.8869899956685,16.4787123278087,0.800211302805466,91.3419520241224,2506,2506,24,24
"Georgia","en11madz_d_clicked","GIRL","BOY",41.9121799671761,4.75532319428925,58.0878200328239,4.75532319428925,-16.1756400656478,-22.6130986821453,9.51064638857851,0.0944824711209042,56.4778666260204,5557,5557,85,125
"Georgia","en11radz_d_clicked","GIRL","BOY",39.4992734475025,4.63412801076387,60.5007265524975,4.63412801076386,-21.0014531049951,-21.4751424201463,9.26825602152773,0.0253440331849175,113.860797645392,5557,5557,80,102
"Georgia","en11badz_d_clicked","GIRL","BOY",39.8578166836715,3.80916145994941,60.1421833163285,3.80916145994941,-20.284366632657,-14.5097110279639,7.61832291989882,0.00905125374041527,98.9978594886682,5557,5557,107,165
"Georgia","en11zadz_d_clicked","GIRL","BOY",48.9343220829652,4.5468785121873,51.0656779170348,4.54687851218729,-2.13135583406954,-20.6741042045905,9.09375702437459,0.815252170707178,85.726442589638,5557,5557,124,116
"Georgia","en11tadz_d_clicked","GIRL","BOY",42.0164176254941,4.76910959923771,57.9835823745059,4.7691095992377,-15.9671647490118,-22.7444063695412,9.53821919847541,0.0982109036087224,76.500719145143,5557,5557,92,111
"Ireland","en11madz_d_clicked","GIRL","BOY",44.0405390943082,6.32868412559775,55.9594609056918,6.32868412559774,-11.9189218113836,-40.0522427615929,12.6573682511955,0.353382667107878,32.1825259702281,2473,2473,37,56
"Ireland","en11radz_d_clicked","GIRL","BOY",33.9614150727411,6.28735076282942,66.0385849272589,6.28735076282941,-32.0771698545178,-39.5307796148516,12.5747015256588,0.0123121268221054,96.7064538134954,2473,2473,18,36
"Ireland","en11badz_d_clicked","GIRL","BOY",27.6075455180326,7.97502051353242,72.3924544819674,7.97502051353242,-44.7849089639348,-63.6009521912629,15.9500410270648,0.00730998258612958,45.7077812968614,2473,2473,13,34
"Ireland","en11zadz_d_clicked","GIRL","BOY",33.359916673221,7.79962556376084,66.640083326779,7.79962556376084,-33.280166653558,-60.8341589348716,15.5992511275217,0.0360110930856008,78.5059712882117,2473,2473,14,30
"Ireland","en11tadz_d_clicked","GIRL","BOY",51.0322730817676,9.24232516274886,48.9677269182324,9.24232516274886,2.06454616353523,-85.4205744139808,18.4846503254977,0.911571902534912,44.479796641795,2473,2473,19,20
"Israel","en11madz_d_clicked","GIRL","BOY",38.3380916866947,4.13521855857194,61.6619083133053,4.13521855857194,-23.3238166266107,-17.1000325271578,8.27043711714388,0.00620741151317561,71.5012396253564,3798,3798,55,85
"Israel","en11radz_d_clicked","GIRL","BOY",37.888310383031,4.77536099446844,62.111689616969,4.77536099446844,-24.2233792339379,-22.8040726274906,9.55072198893687,0.012890286187061,91.9188629245467,3798,3798,45,76
"Israel","en11badz_d_clicked","GIRL","BOY",39.8503022855496,3.26949594921847,60.1496977144504,3.26949594921846,-20.2993954289009,-10.689603761956,6.53899189843693,0.00242503485494661,109.962570169959,3798,3798,82,118
"Israel","en11zadz_d_clicked","GIRL","BOY",37.1547730380905,4.16308605411109,62.8452269619095,4.16308605411109,-25.690453923819,-17.3312854939342,8.32617210822218,0.00261855862940275,101.564576750423,3798,3798,50,84
"Israel","en11tadz_d_clicked","GIRL","BOY",42.9396072155497,4.23097850769315,57.0603927844503,4.23097850769316,-14.1207855689006,-17.9011791325614,8.46195701538631,0.0980139221559331,109.978088953519,3798,3798,65,87
"Italy","en11madz_d_clicked","GIRL","BOY",40.0740818594447,3.58988117979715,59.9259181405553,3.58988117979715,-19.8518362811105,-12.8872468850617,7.17976235959429,0.00628844189211852,179.237928888202,3767,3767,73,109
"Italy","en11radz_d_clicked","GIRL","BOY",40.4589227746183,5.3457232227667,59.5410772253817,5.3457232227667,-19.0821544507633,-28.5767567744272,10.6914464455334,0.0768619089477878,118.018294561835,3767,3767,51,72
"Italy","en11badz_d_clicked","GIRL","BOY",35.2709488336352,5.33317533688424,64.7290511663648,5.33317533688423,-29.4581023327295,-28.4427591739503,10.6663506737685,0.00659138406211213,128.543997247627,3767,3767,31,57
"Italy","en11zadz_d_clicked","GIRL","BOY",53.9127174648105,7.79626221541091,46.0872825351895,7.79626221541091,7.82543492962099,-60.7817045314438,15.5925244308218,0.616601171454981,130.937347241844,3767,3767,25,24
"Italy","en11tadz_d_clicked","GIRL","BOY",31.2362274750949,5.19347974685499,68.7637725249051,5.19347974685499,-37.5275450498102,-26.972231880993,10.38695949371,0.000474087245054378,100.838941033797,3767,3767,24,46
"Norway (5th Grade)","en11madz_d_clicked","GIRL","BOY",38.6623439675807,5.63169153497911,61.3376560324193,5.6316915349791,-22.6753120648386,-31.7159495451553,11.2633830699582,0.0468977404694888,95.9004626129189,3610,3610,46,74
"Norway (5th Grade)","en11radz_d_clicked","GIRL","BOY",28.4017515195564,4.98175681431698,71.5982484804436,4.98175681431699,-43.1964969608872,-24.8179009569937,9.96351362863397,4.10572696165623e-05,81.9824910153869,3610,3610,28,71
"Norway (5th Grade)","en11badz_d_clicked","GIRL","BOY",27.2488161926899,4.68948669595716,72.7511838073101,4.68948669595716,-45.5023676146201,-21.9912854715592,9.37897339191432,5.92583751002351e-06,80.1672451651692,3610,3610,29,72
"Norway (5th Grade)","en11zadz_d_clicked","GIRL","BOY",40.0619858538933,6.23034136021382,59.9380141461067,6.23034136021382,-19.8760282922134,-38.817153464791,12.4606827204276,0.114947869396871,74.0776967383333,3610,3610,28,44
"Norway (5th Grade)","en11tadz_d_clicked","GIRL","BOY",41.386125385755,5.60488530904883,58.613874614245,5.60488530904883,-17.22774922849,-31.4147393275914,11.2097706180977,0.128143657870929,82.7749870158509,3610,3610,51,63
