"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","erea","en11madz_d_clicked","0",1275,8636.60493999999,80.0769472135732,1.02324070504369,447.600052423313,"4.81880771774884",3980,1557
"Abu Dhabi, UAE","erea","en11madz_d_clicked","1",282,2148.777421,19.9230527864268,1.02324070504369,361.555321881619,"7.37623576124092",3980,1557
"Abu Dhabi, UAE","erea","en11radz_d_clicked","0",1385,9477.17957099999,89.0242841915008,0.876697958920769,443.993607370425,"4.95643481760826",3980,1547
"Abu Dhabi, UAE","erea","en11radz_d_clicked","1",162,1168.432081,10.9757158084992,0.876697958920766,364.555146792552,"9.56008831188488",3980,1547
"Abu Dhabi, UAE","erea","en11badz_d_clicked","0",1288,8793.65706799999,80.1702914831807,1.15980457498785,453.460839068133,"4.49884464282007",3980,1576
"Abu Dhabi, UAE","erea","en11badz_d_clicked","1",288,2175.065766,19.8297085168193,1.15980457498785,355.351866447704,"6.74580714171153",3980,1576
"Abu Dhabi, UAE","erea","en11zadz_d_clicked","0",1295,8721.61828199999,80.586558328494,1.30655605725178,447.680101844106,"4.66005134245012",3980,1566
"Abu Dhabi, UAE","erea","en11zadz_d_clicked","1",271,2101.052971,19.413441671506,1.30655605725178,353.496964998426,"6.7781738469376",3980,1566
"Abu Dhabi, UAE","erea","en11tadz_d_clicked","0",1343,9002.19658599999,82.7387890522818,1.31842633543423,446.329076628375,"4.93546111022141",3980,1575
"Abu Dhabi, UAE","erea","en11tadz_d_clicked","1",232,1878.064884,17.2612109477182,1.31842633543423,352.582249523074,"8.73170377484386",3980,1575
"Dubai, UAE","erea","en11madz_d_clicked","0",2610,7536.04088699999,88.5818239386566,0.643243965700592,534.983948334889,"1.84536969236873",7521,2964
"Dubai, UAE","erea","en11madz_d_clicked","1",354,971.393879999999,11.4181760613434,0.643243965700595,495.069404864803,"7.56003911754157",7521,2964
"Dubai, UAE","erea","en11radz_d_clicked","0",2731,7937.53499199999,91.5794743671474,0.505810874747897,533.492442957806,"2.02988134083259",7521,2998
"Dubai, UAE","erea","en11radz_d_clicked","1",267,729.838397999999,8.42052563285265,0.505810874747897,489.684090485261,"8.97871385870731",7521,2998
"Dubai, UAE","erea","en11badz_d_clicked","0",2631,7700.98880599999,90.0494983787214,0.790912284387853,537.041856457151,"1.64199150114966",7521,2960
"Dubai, UAE","erea","en11badz_d_clicked","1",329,850.962003999999,9.95050162127862,0.790912284387852,460.044255588035,"6.21212193376535",7521,2960
"Dubai, UAE","erea","en11zadz_d_clicked","0",2680,7878.63117199999,91.4844069202916,0.456797317978449,531.225294632925,"2.07289603707523",7521,2973
"Dubai, UAE","erea","en11zadz_d_clicked","1",293,733.362321999999,8.51559307970838,0.456797317978444,446.386253099044,"7.3255811303072",7521,2973
"Dubai, UAE","erea","en11tadz_d_clicked","0",2752,8022.37951399999,93.3587297050932,0.543145805319103,530.806961179399,"1.97780317178881",7521,2981
"Dubai, UAE","erea","en11tadz_d_clicked","1",229,570.688899999999,6.64127029490679,0.5431458053191,460.885909487509,"9.84753890443683",7521,2981
"United Arab Emirates","erea","en11madz_d_clicked","0",5268,25294.275654,84.5523788879039,0.511743892567412,481.751384824758,"2.40203031045367",15648,6151
"United Arab Emirates","erea","en11madz_d_clicked","1",883,4621.234692,15.4476211120961,0.511743892567409,400.746397465948,"4.80418670981404",15648,6151
"United Arab Emirates","erea","en11radz_d_clicked","0",5551,26887.191416,89.7506722760928,0.56521264330962,478.642619677258,"2.51903082142689",15648,6168
"United Arab Emirates","erea","en11radz_d_clicked","1",617,3070.457629,10.2493277239072,0.565212643309625,405.56552575974,"5.72006824813046",15648,6168
"United Arab Emirates","erea","en11badz_d_clicked","0",5276,25517.669806,84.606920772638,0.670168452686193,485.617916987236,"2.23756892811973",15648,6172
"United Arab Emirates","erea","en11badz_d_clicked","1",896,4642.59317599999,15.393079227362,0.670168452686197,387.144015726282,"4.32675278995849",15648,6172
"United Arab Emirates","erea","en11zadz_d_clicked","0",5308,25461.051502,85.2838540672876,0.622215946992748,480.189768767785,"2.58336973570887",15648,6145
"United Arab Emirates","erea","en11zadz_d_clicked","1",837,4393.428904,14.7161459327124,0.622215946992743,378.601417334306,"4.42034621532449",15648,6145
"United Arab Emirates","erea","en11tadz_d_clicked","0",5517,26469.137888,87.5977254269985,0.656957957675273,479.442813908053,"2.45577394893547",15648,6210
"United Arab Emirates","erea","en11tadz_d_clicked","1",693,3747.557533,12.4022745730015,0.656957957675268,384.209173780134,"5.38619116665398",15648,6210
"Canada","erea","en11madz_d_clicked","0",3230,93906.8559659999,91.6089190595654,0.898161444022288,545.36944542483,"3.05332016027805",9154,3536
"Canada","erea","en11madz_d_clicked","1",306,8601.56453499999,8.39108094043464,0.898161444022289,514.741150379335,"8.69925855172904",9154,3536
"Canada","erea","en11radz_d_clicked","0",3377,97253.4874149999,95.3901329334529,0.576382582423948,545.918437053556,"3.78927747471041",9154,3534
"Canada","erea","en11radz_d_clicked","1",157,4699.91638499999,4.60986706654712,0.576382582423948,533.550108709236,"11.4732780662517",9154,3534
"Canada","erea","en11badz_d_clicked","0",3327,96429.5585539999,95.3985939889549,0.837576130493923,546.358046661803,"3.4860415533699",9154,3506
"Canada","erea","en11badz_d_clicked","1",179,4651.13301799999,4.60140601104513,0.837576130493924,481.814851301111,"23.2342919821835",9154,3506
"Canada","erea","en11zadz_d_clicked","0",3302,95060.4766969999,95.3398332456887,0.905167462147235,546.151807511766,"4.03614194389428",9154,3450
"Canada","erea","en11zadz_d_clicked","1",148,4646.51193599999,4.66016675431129,0.905167462147236,460.616435818539,"12.4635996290153",9154,3450
"Canada","erea","en11tadz_d_clicked","0",3367,97055.0931989999,95.922516326109,0.609516920267652,540.518207063005,"3.22720678339253",9154,3499
"Canada","erea","en11tadz_d_clicked","1",132,4125.627362,4.07748367389095,0.609516920267646,538.55129228508,"11.1790373070816",9154,3499
"Denmark","erea","en11madz_d_clicked","0",915,19892.451874,90.6631651167286,0.889302099275706,556.713819652499,"2.98739828361738",2506,1002
"Denmark","erea","en11madz_d_clicked","1",87,2048.599763,9.33683488327137,0.889302099275695,549.128340690319,"6.99389833003776",2506,1002
"Denmark","erea","en11radz_d_clicked","0",954,21111.04547,96.4797650818871,0.527251842875492,559.589532695777,"2.39221020729463",2506,991
"Denmark","erea","en11radz_d_clicked","1",37,770.273842999999,3.52023491811286,0.527251842875485,560.213930578183,"11.6903148245331",2506,991
"Denmark","erea","en11badz_d_clicked","0",925,20350.422956,93.0150623578255,0.836917380278804,561.823376563224,"2.84499063876991",2506,994
"Denmark","erea","en11badz_d_clicked","1",69,1528.208784,6.98493764217451,0.836917380278797,526.514565389961,"10.8424800090324",2506,994
"Denmark","erea","en11zadz_d_clicked","0",966,21173.241092,96.1291798318978,0.796692165727503,562.413342980825,"3.10716723035384",2506,1001
"Denmark","erea","en11zadz_d_clicked","1",35,852.579921999999,3.87082016810218,0.796692165727498,536.814222390448,"12.6343677524608",2506,1001
"Denmark","erea","en11tadz_d_clicked","0",967,21461.961655,95.4331609563811,0.684103650493656,555.89687406029,"3.42548483730983",2506,1015
"Denmark","erea","en11tadz_d_clicked","1",48,1027.036341,4.5668390436189,0.684103650493657,538.424665031124,"9.53852895765965",2506,1015
