"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","en11mitem","(Intercept)",3980,1555,19.1091642544914,0.0886475461035667,215.563375349005,"93.7166420043692",0,0.00312012562307116
"Abu Dhabi, UAE","en11mitem","en11madz_d_clicked1",3980,1555,-0.307305676138368,0.144601490593068,-2.12519023751406,"76.4038445645593",0.0368031376082989,0.00312012562307116
"Abu Dhabi, UAE","en11ritem","(Intercept)",3980,1546,15.5720651228999,0.0542087673706747,287.261007364722,"69.5271328354999",0,0.000312399611165396
"Abu Dhabi, UAE","en11ritem","en11radz_d_clicked1",3980,1546,-0.0840144160826129,0.147732046448448,-0.568694593369289,"50.0430970928936",0.572106881566614,0.000312399611165396
"Abu Dhabi, UAE","en11bitem","(Intercept)",3980,1572,16.2895757685381,0.068969815308288,236.184129183548,"66.6192326087512",0,0.000273202510302284
"Abu Dhabi, UAE","en11bitem","en11badz_d_clicked1",3980,1572,-0.0735129637502906,0.11061866688625,-0.664562011273237,"102.279648135081",0.507826229190683,0.000273202510302284
"Abu Dhabi, UAE","en11zitem","(Intercept)",3980,1564,19.2264233647495,0.0892653295295981,215.385116103498,"48.3213383179956",0,0.002036728167256
"Abu Dhabi, UAE","en11zitem","en11zadz_d_clicked1",3980,1564,-0.243008778102074,0.175241398781217,-1.38670873316562,"38.1513552715322",0.173580562037693,0.002036728167256
"Abu Dhabi, UAE","en11titem","(Intercept)",3980,1573,17.3442361283693,0.0858346218763419,202.065736986135,"51.2609562406312",0,0.00469211473412219
"Abu Dhabi, UAE","en11titem","en11tadz_d_clicked1",3980,1573,-0.378419943074965,0.178507849674837,-2.11990645657477,"37.0086436079375",0.0407822925450701,0.00469211473412219
"Dubai, UAE","en11mitem","(Intercept)",7521,2963,19.5509458859684,0.0322411379325359,606.397513849496,"102.742637542349",0,0.00450466730773527
"Dubai, UAE","en11mitem","en11madz_d_clicked1",7521,2963,-0.328686631051264,0.102765296447863,-3.19842050198355,"84.7842028220091",0.00194362271817291,0.00450466730773527
"Dubai, UAE","en11ritem","(Intercept)",7521,2998,15.8195068196304,0.0204390537735478,773.984304503568,"59.6554851085406",0,0.000165084324748125
"Dubai, UAE","en11ritem","en11radz_d_clicked1",7521,2998,-0.0451220537032123,0.0586820294209447,-0.768924560865773,"32.1449483779389",0.447551198497,0.000165084324748125
"Dubai, UAE","en11bitem","(Intercept)",7521,2959,16.7190441643807,0.0229243888894351,729.312534568186,"33.4316920526081",0,0.0192424991646561
"Dubai, UAE","en11bitem","en11badz_d_clicked1",7521,2959,-0.543011261271217,0.142418921534842,-3.81277470310273,"44.6066437607771",0.000418847948435505,0.0192424991646561
"Dubai, UAE","en11zitem","(Intercept)",7521,2973,19.651669875758,0.0233659102378698,841.040202401701,"82.5592687504618",0,5.05908311758127e-05
"Dubai, UAE","en11zitem","en11zadz_d_clicked1",7521,2973,0.0320412053248289,0.0659973439854621,0.485492345447826,"90.2358394747918",0.62850386054643,5.05908311758127e-05
"Dubai, UAE","en11titem","(Intercept)",7521,2981,17.7368728702853,0.0307573724976263,576.670613579041,"37.1755460568363",0,0.00230840538064013
"Dubai, UAE","en11titem","en11tadz_d_clicked1",7521,2981,-0.245101782745412,0.118677308847952,-2.06527924440411,"29.2312805564735",0.0478642415571387,0.00230840538064013
"United Arab Emirates","en11mitem","(Intercept)",15648,6148,19.1406487329615,0.0534731206069041,357.948975405228,"59.5229623073673",0,0.00317713407063686
"United Arab Emirates","en11mitem","en11madz_d_clicked1",15648,6148,-0.331313122183086,0.0948382779924485,-3.4934535843161,"93.3405188241751",0.00073085466503175,0.00317713407063686
"United Arab Emirates","en11ritem","(Intercept)",15648,6166,15.6275187778967,0.0293709965503986,532.073154245243,"106.764815046264",0,0.000569087273526618
"United Arab Emirates","en11ritem","en11radz_d_clicked1",15648,6166,-0.107554120211448,0.0766060206417151,-1.40399043457011,"83.6453619473608",0.164023757710327,0.000569087273526618
"United Arab Emirates","en11bitem","(Intercept)",15648,6167,16.3571136647935,0.0352423192368963,464.132725058252,"123.653122701567",0,0.0026201509119587
"United Arab Emirates","en11bitem","en11badz_d_clicked1",15648,6167,-0.237624447028787,0.0895499607451204,-2.65354049350306,"58.8895047331855",0.0102240724582465,0.0026201509119587
"United Arab Emirates","en11zitem","(Intercept)",15648,6142,19.3433269714285,0.0419282656992197,461.343359875447,"83.6091237720615",0,0.0027722976124146
"United Arab Emirates","en11zitem","en11zadz_d_clicked1",15648,6142,-0.274935241058901,0.116567268768871,-2.35859726287352,"48.8668441719781",0.0223884242936415,0.0027722976124146
"United Arab Emirates","en11titem","(Intercept)",15648,6207,17.3991055165566,0.0448616605558019,387.839088009559,"84.9866821006517",0,0.00332312307747252
"United Arab Emirates","en11titem","en11tadz_d_clicked1",15648,6207,-0.339802310657201,0.114201980848837,-2.97545023415117,"32.2427785017171",0.00550742948262548,0.00332312307747252
"Canada","en11mitem","(Intercept)",9154,3535,19.6154383328181,0.0462211114869879,424.382661986401,"50.5084548517053",0,0.00743570375870544
"Canada","en11mitem","en11madz_d_clicked1",9154,3535,-0.507718421488986,0.227703483380613,-2.22973497792443,"22.7979343902141",0.0359068546022622,0.00743570375870544
"Canada","en11ritem","(Intercept)",9154,3534,15.8652196640304,0.0213085710951863,744.546389016877,"24.9039273842127",0,0.00193656617906669
"Canada","en11ritem","en11radz_d_clicked1",9154,3534,-0.1595702934194,0.20478729719504,-0.779200153549686,"6.5615493674342",0.463032129075172,0.00193656617906669
"Canada","en11bitem","(Intercept)",9154,3506,16.6482776067359,0.0337377613889994,493.461241093614,"52.883431408832",0,0.000185085098700835
"Canada","en11bitem","en11badz_d_clicked1",9154,3506,-0.0772066217264248,0.157825313691988,-0.489190358126588,"34.1865573858926",0.627830992389193,0.000185085098700835
"Canada","en11zitem","(Intercept)",9154,3448,19.7548174046903,0.0413358372687089,477.910179398851,"38.2866026289267",0,0.00241462879575228
"Canada","en11zitem","en11zadz_d_clicked1",9154,3448,-0.268187576306458,0.207275577720314,-1.29386963604721,"30.2460357075941",0.205503856031974,0.00241462879575228
"Canada","en11titem","(Intercept)",9154,3497,17.8317582151545,0.0292439529767882,609.758818491744,"33.8990406467909",0,0.000284714813781815
"Canada","en11titem","en11tadz_d_clicked1",9154,3497,-0.080443407726689,0.117133793912243,-0.68676515154079,"25.217924479049",0.498497847198296,0.000284714813781815
"Denmark","en11mitem","(Intercept)",2506,1002,19.607911801451,0.0420727351485175,466.04794606851,"123.738066370244",0,0.00116401786694824
