"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked_v2","0 click",3009,20062.183069,73.2367435795363,1.0413257985627,455.498301420322,4.26749038011834,3980,3980
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked_v2","1 click",301,2167.757758,7.91337206520217,0.49654957386431,401.149985563995,8.32504868945047,3980,3980
"Abu Dhabi, UAE","erea","adClickTotal_d_clicked_v2","more than 1 click",670,5163.66255899999,18.8498843552615,0.985661181464955,350.989412383345,4.92033807625058,3980,3980
"Dubai, UAE","erea","adClickTotal_d_clicked_v2","0 click",6266,18339.110848,85.1126694300934,0.516399189724156,536.298366868145,1.44691426562626,7521,7470
"Dubai, UAE","erea","adClickTotal_d_clicked_v2","1 click",497,1390.621679,6.45394012000077,0.357498161148533,502.88050834199,5.19554851010442,7521,7470
"Dubai, UAE","erea","adClickTotal_d_clicked_v2","more than 1 click",707,1817.131143,8.43339044990579,0.371612986218362,460.32886166988,6.05829896158974,7521,7470
"United Arab Emirates","erea","adClickTotal_d_clicked_v2","0 click",12422,59407.1752229999,78.5724776824447,0.580508654662341,487.201116397006,2.18049385886967,15648,15565
"United Arab Emirates","erea","adClickTotal_d_clicked_v2","1 click",1092,5262.22297499999,6.95986462428462,0.245996859964713,434.260181262099,4.43777290590029,15648,15565
"United Arab Emirates","erea","adClickTotal_d_clicked_v2","more than 1 click",2051,10938.72436,14.4676576932707,0.50403771361462,382.238810082216,3.22276075537533,15648,15565
"Canada","erea","adClickTotal_d_clicked_v2","0 click",8010,230856.834766,90.7586484041741,0.816971109091058,545.937892242829,2.77953822079646,9154,8831
"Canada","erea","adClickTotal_d_clicked_v2","1 click",380,10742.864799,4.22343089878323,0.335820487569113,519.605712958337,9.30501741712984,9154,8831
"Canada","erea","adClickTotal_d_clicked_v2","more than 1 click",441,12763.756508,5.01792069704263,0.652469086730414,502.628055640957,9.43257515932871,9154,8831
"Denmark","erea","adClickTotal_d_clicked_v2","0 click",2258,49641.9955479999,89.91971730717,0.637384510262561,560.385882281851,2.23539586561485,2506,2506
"Denmark","erea","adClickTotal_d_clicked_v2","1 click",112,2595.721614,4.70179635533194,0.465722741919516,537.738887851003,6.44479157120442,2506,2506
"Denmark","erea","adClickTotal_d_clicked_v2","more than 1 click",136,2969.301982,5.3784863374981,0.432348662371078,541.175054240636,6.82674505494409,2506,2506
"Georgia","erea","adClickTotal_d_clicked_v2","0 click",4617,34763.176812,82.9396782034351,0.852163869671504,484.034056442777,2.92746934136324,5557,5557
"Georgia","erea","adClickTotal_d_clicked_v2","1 click",407,3163.094231,7.54666407690686,0.532874622864589,456.518829960174,7.18477018283342,5557,5557
"Georgia","erea","adClickTotal_d_clicked_v2","more than 1 click",533,3987.536154,9.5136577196581,0.603298417995468,430.902712382678,6.71788356589259,5557,5557
"Ireland","erea","adClickTotal_d_clicked_v2","0 click",2225,55316.8231049999,89.9375994697085,0.916195873164966,569.009769345766,2.16789897841538,2473,2473
"Ireland","erea","adClickTotal_d_clicked_v2","1 click",104,2547.687982,4.14219270806597,0.486083083204458,547.544514636914,10.9120630285019,2473,2473
"Ireland","erea","adClickTotal_d_clicked_v2","more than 1 click",144,3641.270067,5.92020782222549,0.666771916448584,546.684592616853,11.8444305672235,2473,2473
"Israel","erea","adClickTotal_d_clicked_v2","0 click",3189,86503.7176729999,84.025755763856,0.651014874628494,546.157509242573,2.23408444749908,3798,3798
"Israel","erea","adClickTotal_d_clicked_v2","1 click",168,4602.16505199999,4.47033268681127,0.295421471918052,503.309415675679,7.03534328158096,3798,3798
"Israel","erea","adClickTotal_d_clicked_v2","more than 1 click",441,11843.167702,11.5039115493327,0.60852457261971,475.672425079505,6.29696969919264,3798,3798
"Italy","erea","adClickTotal_d_clicked_v2","0 click",3305,460970.975245,88.2648470204295,0.614167636017988,535.223913484678,2.14820075757038,3767,3767
"Italy","erea","adClickTotal_d_clicked_v2","1 click",252,33150.795323,6.34757942457225,0.428562113372602,523.342361265669,5.0122453204157,3767,3767
"Italy","erea","adClickTotal_d_clicked_v2","more than 1 click",210,28137.079706,5.38757355499826,0.455897246065521,498.011627485197,6.60153184964493,3767,3767
"Norway (5th Grade)","erea","adClickTotal_d_clicked_v2","0 click",3161,49900.9542029999,88.0456684947847,0.692095459276923,568.971236485824,2.11217539581034,3610,3597
"Norway (5th Grade)","erea","adClickTotal_d_clicked_v2","1 click",168,2740.321672,4.83504689149774,0.392851220431938,557.193506828745,6.71948033048001,3610,3597
"Norway (5th Grade)","erea","adClickTotal_d_clicked_v2","more than 1 click",268,4034.941202,7.11928461371752,0.511933158315032,557.78755967343,6.07703990488033,3610,3597
"Portugal","erea","adClickTotal_d_clicked_v2","0 click",4077,83191.4408209999,89.1818707143143,0.597923732299047,526.791432902925,2.17613465572016,4558,4558
"Portugal","erea","adClickTotal_d_clicked_v2","1 click",211,4273.17444399999,4.58087619403656,0.372701743373033,485.23229994666,5.69525553864765,4558,4558
"Portugal","erea","adClickTotal_d_clicked_v2","more than 1 click",270,5818.29095199999,6.23725309164914,0.532950012620883,486.689574531057,5.68427465220306,4558,4558
"Singapore","erea","adClickTotal_d_clicked_v2","0 click",5436,33588.113992,85.8438325507916,0.509267331333903,588.47235568653,3.03774878848029,6320,6320
"Singapore","erea","adClickTotal_d_clicked_v2","1 click",287,1799.529496,4.59920163310235,0.296526362181305,578.58710570522,6.48331925473622,6320,6320
"Singapore","erea","adClickTotal_d_clicked_v2","more than 1 click",597,3739.353751,9.55696581610608,0.393809414853981,589.637153607729,5.35254260944562,6320,6320
"Slovenia","erea","adClickTotal_d_clicked_v2","0 click",3930,17801.816405,91.2883739151226,0.532217674561727,526.426897638635,2.04155419335621,4303,4303
"Slovenia","erea","adClickTotal_d_clicked_v2","1 click",166,816.586336999999,4.18748498299864,0.398558623572209,523.329930701359,6.76260880387005,4303,4303
"Slovenia","erea","adClickTotal_d_clicked_v2","more than 1 click",207,882.236431999999,4.52414110187874,0.320335234210036,497.968435636522,6.19121326691981,4303,4303
"Sweden","erea","adClickTotal_d_clicked_v2","0 click",3606,97790.5544679999,93.2957334202198,0.564717872928868,560.462113144621,2.25911001567959,3879,3879
"Sweden","erea","adClickTotal_d_clicked_v2","1 click",122,3039.376348,2.89967519940302,0.352641992229389,542.514888000376,9.0323677322431,3879,3879
"Sweden","erea","adClickTotal_d_clicked_v2","more than 1 click",151,3987.889767,3.80459138037715,0.379395410477066,541.06286913702,8.32683540846454,3879,3879
"Chinese Taipei","erea","adClickTotal_d_clicked_v2","0 click",3131,142878.569609,72.2580512033804,0.997511477966593,549.646648940561,2.02244478329449,4299,4299
"Chinese Taipei","erea","adClickTotal_d_clicked_v2","1 click",333,16035.202499,8.10949106223645,0.429014505240521,530.012710083391,3.92760263302971,4299,4299
"Chinese Taipei","erea","adClickTotal_d_clicked_v2","more than 1 click",835,38819.999049,19.6324577343832,0.931624371875519,537.390616035605,3.4758939078726,4299,4299
"United States","erea","adClickTotal_d_clicked_v2","0 click",3546,3109422.797449,86.9024455117719,0.834681132936586,559.217603380089,2.38254541401669,4090,4088
