"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","erea","(Intercept)",3980,3980,442.597251105012,4.02979956171711,109.831083240383,122.171708170222,0,0.0106291006562511
"Abu Dhabi, UAE","erea","en11Totaltims_seconds_quickhalf1",3980,3980,-21.3097899987681,7.04180661137327,-3.02618222493507,108.357116886472,0.0030941433620462,0.0106291006562511
"Abu Dhabi, UAE","erea","(Intercept)",3980,3973,442.824188644978,4.58591301261665,96.5618378339691,87.0301162533463,0,0.0112551292703644
"Abu Dhabi, UAE","erea","en11Totaltiml_seconds_quickhalf1",3980,3973,-21.8918445591245,7.87112337270069,-2.78128591339982,84.9793422162039,0.00666772955956693,0.0112551292703644
"Abu Dhabi, UAE","erea","(Intercept)",3980,3973,444.554860419332,5.1619720419754,86.121129057725,88.8033063127573,0,0.0156529742973356
"Abu Dhabi, UAE","erea","en11Totaltimr_seconds_quickhalf1",3980,3973,-25.8345047253989,6.02095205508077,-4.29076738845619,54.3498476516725,7.36793458421338e-05,0.0156529742973356
"Dubai, UAE","erea","(Intercept)",7521,7470,519.112426139872,1.8562945061663,279.649820874579,104.90534186342,0,0.00995823488109908
"Dubai, UAE","erea","en11Totaltims_seconds_quickhalf1",7521,7470,17.7523181001608,2.67453027482588,6.63754613931843,132.696803961674,7.43380024204043e-10,0.00995823488109908
"Dubai, UAE","erea","(Intercept)",7521,7469,525.792246824377,2.10840004332833,249.379736302016,98.1148705567874,0,0.000556674140528989
"Dubai, UAE","erea","en11Totaltiml_seconds_quickhalf1",7521,7469,4.18349720289665,3.58589698209672,1.16665292499577,81.8520361780483,0.246738379644139,0.000556674140528989
"Dubai, UAE","erea","(Intercept)",7521,7469,540.961616607003,2.25136801443902,240.281292590805,62.0874767508335,0,0.02514368252087
"Dubai, UAE","erea","en11Totaltimr_seconds_quickhalf1",7521,7469,-28.2492706125684,3.4916363345127,-8.09055351307397,72.480424139624,9.95885759999642e-12,0.02514368252087
"United Arab Emirates","erea","(Intercept)",15648,15565,469.54407220895,2.19658756280697,213.760689607534,103.157836535562,0,0.000162562641501663
"United Arab Emirates","erea","en11Totaltims_seconds_quickhalf1",15648,15565,-2.56629789302925,3.35240457873599,-0.765509601468465,124.767316477905,0.44541384130791,0.000162562641501663
"United Arab Emirates","erea","(Intercept)",15648,15553,473.002018281912,2.68583954873475,176.109558929063,79.8828660935604,0,0.0023486026895942
"United Arab Emirates","erea","en11Totaltiml_seconds_quickhalf1",15648,15553,-9.8420266506169,3.90284701451777,-2.52175568604319,96.6449561348876,0.0133119900953362,0.0023486026895942
"United Arab Emirates","erea","(Intercept)",15648,15553,481.149203437184,2.93489794296891,163.940693266649,84.5083403658981,0,0.0163886882477901
"United Arab Emirates","erea","en11Totaltimr_seconds_quickhalf1",15648,15553,-25.970252402249,3.70964681025846,-7.00073449861378,91.2295780147967,4.19541935082002e-10,0.0163886882477901
"Canada","erea","(Intercept)",9154,8701,542.157099108535,4.76754179064412,113.718373727205,20.2638937265629,0,0.000210837926447735
"Canada","erea","en11Totaltims_seconds_quickhalf1",9154,8701,1.88973352030038,4.84749222221838,0.38983734963799,16.0721997852935,0.701774368591368,0.000210837926447735
"Canada","erea","(Intercept)",9154,8674,542.142387163813,4.90484694618436,110.53196829833,18.5211939082521,0,0.000228567554640823
