"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","erea","(Intercept)",3980,1989,440.414768649432,4.48593705693181,98.1767606321826,114.914594818104,0,0.0278928829925638
"Abu Dhabi, UAE","erea","en11Totaltims_seconds_quickquartile1",3980,1989,-34.5990514742396,9.52357070688459,-3.63299150488041,102.025264154782,0.000440516760447059,0.0278928829925638
"Abu Dhabi, UAE","erea","(Intercept)",3980,1986,437.025145098029,6.06615148033352,72.0432297997941,45.7460572603355,0,0.0255406564628698
"Abu Dhabi, UAE","erea","en11Totaltiml_seconds_quickquartile1",3980,1986,-33.473072112222,11.081404232261,-3.02065256448029,78.4915312326401,0.00340338333413018,0.0255406564628698
"Abu Dhabi, UAE","erea","(Intercept)",3980,1983,444.401865690533,7.42672401442765,59.8382092598578,45.0107928950478,0,0.0225799993634635
"Abu Dhabi, UAE","erea","en11Totaltimr_seconds_quickquartile1",3980,1983,-31.5635203414042,9.35705411287747,-3.37323263931599,39.3228746813052,0.00167962595576151,0.0225799993634635
"Dubai, UAE","erea","(Intercept)",7521,3732,506.431747587381,2.6227204413995,193.094063550725,91.4675454607453,0,0.021697056442616
"Dubai, UAE","erea","en11Totaltims_seconds_quickquartile1",7521,3732,26.7889773740704,4.20700230462198,6.36771159945382,113.611555750212,4.20593626593302e-09,0.021697056442616
"Dubai, UAE","erea","(Intercept)",7521,3733,520.775116682292,3.57088486653366,145.839234852682,62.3065750140173,0,0.00149649065751082
"Dubai, UAE","erea","en11Totaltiml_seconds_quickquartile1",7521,3733,6.99643789005184,5.04909821596668,1.38568068807359,85.4499266816399,0.169450481814162,0.00149649065751082
"Dubai, UAE","erea","(Intercept)",7521,3694,547.469392947352,3.19522722299538,171.339737282948,57.2802688722108,0,0.0727172918074892
"Dubai, UAE","erea","en11Totaltimr_seconds_quickquartile1",7521,3694,-48.8314680803492,5.10242649967075,-9.5702442913191,74.0644758243044,1.39208390037947e-14,0.0727172918074892
"United Arab Emirates","erea","(Intercept)",15648,7777,462.039169493925,2.55351714424677,180.942262531868,85.638465681084,0,0.00158544200630355
"United Arab Emirates","erea","en11Totaltims_seconds_quickquartile1",15648,7777,-8.13466739924736,4.82358564517041,-1.68643577571638,94.7763855547071,0.0950011366209578,0.00158544200630355
"United Arab Emirates","erea","(Intercept)",15648,7775,464.964624828706,3.32827356500014,139.701444532155,77.3306723998581,0,0.00614306383097579
"United Arab Emirates","erea","en11Totaltiml_seconds_quickquartile1",15648,7775,-16.3436154463287,5.80153823179327,-2.81711759766803,78.5721401091625,0.00612592864479514,0.00614306383097579
"United Arab Emirates","erea","(Intercept)",15648,7750,486.228454155062,4.37592251439957,111.114502726011,75.6298216495726,0,0.0409255659504447
"United Arab Emirates","erea","en11Totaltimr_seconds_quickquartile1",15648,7750,-41.8623344603637,5.51597513394676,-7.58928991589029,79.6283358712107,5.25656736554538e-11,0.0409255659504447
"Canada","erea","(Intercept)",9154,4347,530.533956518509,6.20935365979849,85.4410918729545,20.040157697726,0,0.000507577282897656
"Canada","erea","en11Totaltims_seconds_quickquartile1",9154,4347,2.98210816277806,8.49312740328189,0.351120149407593,19.1705154654834,0.729327524290125,0.000507577282897656
"Canada","erea","(Intercept)",9154,4334,529.975027760137,6.08257263715067,87.1300779086791,20.1617578005286,0,0.00119226573835454
"Canada","erea","en11Totaltiml_seconds_quickquartile1",9154,4334,5.17310341239332,7.68144103918129,0.673454809586702,22.7933496263879,0.507429926399505,0.00119226573835454
