"IDCNTRY","YVar","EqVar","EqVar1Value","EqVar2Value","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","adClickTotal_d_clicked","itsex","GIRL","1942",1942,12989.201437,47.4169142845894,3.46397314256527,0.181502012609062,0.0144365181270993,3980,3980
"Abu Dhabi, UAE","adClickTotal_d_clicked","itsex","BOY","2038",2038,14404.401949,52.5830857154106,3.46397314256528,0.345300980326039,0.0180532183240312,3980,3980
"Dubai, UAE","adClickTotal_d_clicked","itsex","GIRL","3612",3612,10378.043766,48.1649855168922,3.10828206439174,0.111037934603368,0.00609953872771806,7521,7470
"Dubai, UAE","adClickTotal_d_clicked","itsex","BOY","3858",3858,11168.819904,51.8350144831078,3.10828206439174,0.18402985227328,0.00881577180038013,7521,7470
"United Arab Emirates","adClickTotal_d_clicked","itsex","GIRL","7631",7631,36990.619165,48.9241339601099,1.87859045784084,0.149212494129386,0.00768057146057816,15648,15565
"United Arab Emirates","adClickTotal_d_clicked","itsex","BOY","7934",7934,38617.503393,51.0758660398901,1.87859045784084,0.276596979387751,0.00994154489615885,15648,15565
"Canada","adClickTotal_d_clicked","itsex","GIRL","4421",4421,126231.66994,49.6307233470876,0.95879105361833,0.0696931260212401,0.0107290458401715,9154,8830
"Canada","adClickTotal_d_clicked","itsex","BOY","4409",4409,128110.119635,50.3692766529124,0.958791053618323,0.114816391303886,0.00934253915106957,9154,8830
"Denmark","adClickTotal_d_clicked","itsex","GIRL","1272",1272,28147.24478,50.9849023121168,0.9075439471052,0.0754438791646449,0.00834798808565848,2506,2506
"Denmark","adClickTotal_d_clicked","itsex","BOY","1234",1234,27059.774364,49.0150976878832,0.907543947105197,0.127180892778563,0.0100226856830045,2506,2506
"Georgia","adClickTotal_d_clicked","itsex","GIRL","2719",2719,20542.705782,49.0117867018064,0.88045032679932,0.148537836027116,0.00976909584568944,5557,5557
"Georgia","adClickTotal_d_clicked","itsex","BOY","2838",2838,21371.101415,50.9882132981936,0.880450326799319,0.19181329227715,0.012355757468405,5557,5557
"Ireland","adClickTotal_d_clicked","itsex","GIRL","1232",1232,31115.958731,50.5902992323452,1.67565135291038,0.0794134251610954,0.00993890440368435,2473,2473
"Ireland","adClickTotal_d_clicked","itsex","BOY","1241",1241,30389.822423,49.4097007676548,1.67565135291038,0.122341392366484,0.0125993459556578,2473,2473
"Israel","adClickTotal_d_clicked","itsex","GIRL","1922",1922,52302.1772379999,50.8039433302854,1.21969861820305,0.126253800486194,0.00794484780516125,3798,3798
"Israel","adClickTotal_d_clicked","itsex","BOY","1876",1876,50646.8731889999,49.1960566697146,1.21969861820306,0.194325601647163,0.00980124406178263,3798,3798
"Italy","adClickTotal_d_clicked","itsex","GIRL","1833",1833,254134.568803,48.6606533656002,0.849754777860455,0.0956186544926007,0.00775368533475655,3767,3767
"Italy","adClickTotal_d_clicked","itsex","BOY","1934",1934,268124.281471,51.3393466343998,0.849754777860455,0.137950465720877,0.00903175519784917,3767,3767
"Norway (5th Grade)","adClickTotal_d_clicked","itsex","GIRL","1815",1815,28635.318939,50.5244005613434,1.20435925364539,0.0882523809978643,0.00711735001389352,3610,3597
"Norway (5th Grade)","adClickTotal_d_clicked","itsex","BOY","1782",1782,28040.898138,49.4755994386566,1.20435925364539,0.151497565309546,0.00986625733991214,3610,3597
"Portugal","adClickTotal_d_clicked","itsex","GIRL","2251",2251,46058.8363999999,49.37543036326,0.843748039269921,0.0750534835482733,0.00622567682113618,4558,4558
"Portugal","adClickTotal_d_clicked","itsex","BOY","2307",2307,47224.0698169999,50.62456963674,0.843748039269915,0.140491687855579,0.00965750073943352,4558,4558
"Singapore","adClickTotal_d_clicked","itsex","GIRL","3160",3160,19350.11302,49.4546333361679,0.625268003874863,0.0934535707430198,0.00613051652258762,6320,6320
"Singapore","adClickTotal_d_clicked","itsex","BOY","3160",3160,19776.884219,50.5453666638321,0.625268003874874,0.188631639326481,0.00804555718003187,6320,6320
"Slovenia","adClickTotal_d_clicked","itsex","GIRL","2151",2151,9682.10860099999,49.6502115372149,0.846471262800031,0.0754726211111203,0.00599225102921919,4303,4303
"Slovenia","adClickTotal_d_clicked","itsex","BOY","2152",2152,9818.53057299999,50.3497884627851,0.846471262800036,0.0985981199327469,0.00795306361652345,4303,4303
"Sweden","adClickTotal_d_clicked","itsex","GIRL","1943",1943,51022.52962,48.6773425894672,1.09745040226638,0.0505729136955323,0.00638514612697944,3879,3879
"Sweden","adClickTotal_d_clicked","itsex","BOY","1936",1936,53795.2909629999,51.3226574105328,1.09745040226637,0.0826635203266869,0.00805135047859604,3879,3879
"Chinese Taipei","adClickTotal_d_clicked","itsex","GIRL","2046",2046,95021.8473779999,48.0554468880042,0.650956148008313,0.191311516904993,0.0120664084397505,4299,4299
"Chinese Taipei","adClickTotal_d_clicked","itsex","BOY","2253",2253,102711.923779,51.9445531119958,0.650956148008311,0.3570805261706,0.0148553427991482,4299,4299
"United States","adClickTotal_d_clicked","itsex","GIRL","2061",2061,1786566.945816,49.9311437445181,0.691474218678884,0.106028933263668,0.0086509345422736,4090,4088
"United States","adClickTotal_d_clicked","itsex","BOY","2027",2027,1791494.383917,50.0688562554819,0.691474218678885,0.155853541781428,0.0116787006199118,4090,4088
