"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","adClickTotal_d_clicked","(Intercept)",3980,3980,0.18150201260906,0.0144365181271009,12.5724230047089,68.7716539000851,0,0.0341297963361219
"Abu Dhabi, UAE","adClickTotal_d_clicked","itsexBOY",3980,3980,0.163798967716976,0.0286465586612949,5.71792827381702,60.932450760343,3.47196360994673e-07,0.0341297963361219
"Dubai, UAE","adClickTotal_d_clicked","(Intercept)",7521,7470,0.111037934603368,0.00609953872771803,18.2043166803385,111.555589482321,0,0.0104976759404507
"Dubai, UAE","adClickTotal_d_clicked","itsexBOY",7521,7470,0.072991917669911,0.0114011592988576,6.40214874264805,90.1510291809988,6.75294486995881e-09,0.0104976759404507
"United Arab Emirates","adClickTotal_d_clicked","(Intercept)",15648,15565,0.149212494129387,0.00768057146057794,19.427264611136,107.930841809122,0,0.0240840519047159
"United Arab Emirates","adClickTotal_d_clicked","itsexBOY",15648,15565,0.127384485258358,0.0143398652752426,8.88324142614393,101.975830834255,2.39808173319034e-14,0.0240840519047159
"Canada","adClickTotal_d_clicked","(Intercept)",9154,8830,0.06969312602124,0.0107290458401714,6.49574314989846,13.6790115505224,1.57894843217932e-05,0.00606821020746656
"Canada","adClickTotal_d_clicked","itsexBOY",9154,8830,0.0451232652826474,0.0118615496773798,3.80416273673737,52.4024145533896,0.000373579538868185,0.00606821020746656
"Denmark","adClickTotal_d_clicked","(Intercept)",2506,2506,0.0754438791646447,0.00834798808565865,9.03737264482359,123.46086535049,2.66453525910038e-15,0.007379832973608
"Denmark","adClickTotal_d_clicked","itsexBOY",2506,2506,0.0517370136139184,0.0133825303039073,3.86601131766635,106.401662670752,0.000190710670259442,0.007379832973608
"Georgia","adClickTotal_d_clicked","(Intercept)",5557,5557,0.148537836027116,0.00976909584568995,15.2048703762743,144.837740220758,0,0.00330753215228403
"Georgia","adClickTotal_d_clicked","itsexBOY",5557,5557,0.0432754562500329,0.0144059950619154,3.00398938525522,115.206300593534,0.00326956725007954,0.00330753215228403
"Ireland","adClickTotal_d_clicked","(Intercept)",2473,2473,0.0794134251610957,0.00993890440368446,7.99015886818031,47.0787249735414,2.60459653844691e-10,0.00508999349324953
"Ireland","adClickTotal_d_clicked","itsexBOY",2473,2473,0.0429279672053887,0.0133788169196854,3.20865196549817,75.7217946398383,0.00195608633029964,0.00508999349324953
"Israel","adClickTotal_d_clicked","(Intercept)",3798,3798,0.126253800486193,0.00794484780516069,15.8912799316537,118.387609010051,0,0.00862838375583725
"Israel","adClickTotal_d_clicked","itsexBOY",3798,3798,0.0680718011609688,0.0122400539757598,5.56139713891605,134.435881034305,1.39065147841677e-07,0.00862838375583725
"Italy","adClickTotal_d_clicked","(Intercept)",3767,3767,0.0956186544925998,0.00775368533475716,12.3320266898082,110.872772353516,0,0.00432200680729441
"Italy","adClickTotal_d_clicked","itsexBOY",3767,3767,0.0423318112282766,0.0115892364540802,3.6526833666745,144.631030523497,0.000362078112631226,0.00432200680729441
"Norway (5th Grade)","adClickTotal_d_clicked","(Intercept)",3610,3597,0.0882523809978658,0.00711735001389381,12.3996123312171,126.284154796762,0,0.00949978702888334
"Norway (5th Grade)","adClickTotal_d_clicked","itsexBOY",3610,3597,0.0632451843116821,0.0100610705776397,6.28612868020641,140.831038158141,3.82802145537653e-09,0.00949978702888334
"Portugal","adClickTotal_d_clicked","(Intercept)",4558,4558,0.0750534835482727,0.00622567682113673,12.0554737588465,94.5129628995457,0,0.0110944618112713
"Portugal","adClickTotal_d_clicked","itsexBOY",4558,4558,0.0654382043073054,0.0111618240870193,5.86268013159308,104.488587190406,5.37510613796144e-08,0.0110944618112713
"Singapore","adClickTotal_d_clicked","(Intercept)",6320,6320,0.0934535707430192,0.00613051652258737,15.2439962275116,98.9844448592873,0,0.0186340528483452
"Singapore","adClickTotal_d_clicked","itsexBOY",6320,6320,0.0951780685834612,0.0103636929884314,9.18379854456372,102.733297505443,4.88498130835069e-15,0.0186340528483452
"Slovenia","adClickTotal_d_clicked","(Intercept)",4303,4303,0.075472621111121,0.00599225102921917,12.5950366136373,115.090360496148,0,0.00168107184385536
"Slovenia","adClickTotal_d_clicked","itsexBOY",4303,4303,0.0231254988216262,0.00926230420166836,2.49673281271206,128.324581928708,0.0138010073260353,0.00168107184385536
"Sweden","adClickTotal_d_clicked","(Intercept)",3879,3879,0.0505729136955327,0.00638514612697956,7.92040036199701,94.9618858213731,4.43733938482183e-12,0.00411319020113253
"Sweden","adClickTotal_d_clicked","itsexBOY",3879,3879,0.0320906066311549,0.00925724347619,3.46654019781301,121.195230296995,0.000730101026714891,0.00411319020113253
"Chinese Taipei","adClickTotal_d_clicked","(Intercept)",4299,4299,0.191311516904994,0.0120664084397505,15.8548848947259,133.35751486178,0,0.0342189049992413
"Chinese Taipei","adClickTotal_d_clicked","itsexBOY",4299,4299,0.165769009265608,0.0190004788629986,8.72446481274879,153.537795243381,3.99680288865056e-15,0.0342189049992413
"United States","adClickTotal_d_clicked","(Intercept)",4090,4088,0.106028933263667,0.00865093454227395,12.2563559746687,132.739139882937,0,0.0054526141116941
"United States","adClickTotal_d_clicked","itsexBOY",4090,4088,0.0498246085177594,0.0121446976226109,4.1025812305937,100.579210823322,8.309999459577e-05,0.0054526141116941
