"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Abu Dhabi, UAE","en11mtims_seconds","en11madz_d_clicked","0",1273,8620.73665399999,80.0475916922928,1.02532353422457,1829.47517029895,"21.3564778512416",3980,1555
"Abu Dhabi, UAE","en11mtims_seconds","en11madz_d_clicked","1",282,2148.777421,19.9524083077072,1.02532353422457,1716.4753150964,"45.5388777301365",3980,1555
"Abu Dhabi, UAE","en11rtims_seconds","en11radz_d_clicked","0",1384,9471.64793499999,89.0185780629189,0.878046247918715,1644.62431583074,"20.8232549087904",3980,1546
"Abu Dhabi, UAE","en11rtims_seconds","en11radz_d_clicked","1",162,1168.432081,10.981421937081,0.878046247918713,1576.19213799386,"52.5773529652983",3980,1546
"Abu Dhabi, UAE","en11btims_seconds","en11badz_d_clicked","0",1284,8776.20229699999,80.1386857349544,1.16426764619227,1819.99286551393,"21.8362885671927",3980,1572
"Abu Dhabi, UAE","en11btims_seconds","en11badz_d_clicked","1",288,2175.065766,19.8613142650456,1.16426764619227,1691.7224286215,"40.228729142255",3980,1572
"Abu Dhabi, UAE","en11ztims_seconds","en11zadz_d_clicked","0",1293,8708.72643899999,80.5634056782293,1.30932823545243,1770.72698852023,"20.5876404981439",3980,1564
"Abu Dhabi, UAE","en11ztims_seconds","en11zadz_d_clicked","1",271,2101.052971,19.4365943217707,1.30932823545242,1619.23518690619,"33.9819625155082",3980,1564
"Abu Dhabi, UAE","en11ttims_seconds","en11tadz_d_clicked","0",1341,8993.20104099999,82.7245060790839,1.31951507735564,1655.26140281856,"23.2575110427412",3980,1573
"Abu Dhabi, UAE","en11ttims_seconds","en11tadz_d_clicked","1",232,1878.064884,17.2754939209161,1.31951507735564,1535.44560984348,"48.7686778486812",3980,1573
"Abu Dhabi, UAE","en11mtiml_seconds","en11madz_d_clicked","0",1267,8576.61555299999,80.0937556775367,1.01686518708698,1927.68726531644,"22.8988716364959",3980,1547
"Abu Dhabi, UAE","en11mtiml_seconds","en11madz_d_clicked","1",280,2131.604433,19.9062443224632,1.01686518708698,1804.6667885162,"49.4435156818355",3980,1547
"Abu Dhabi, UAE","en11rtiml_seconds","en11radz_d_clicked","0",1377,9433.51595699999,88.9790812328824,0.885391712063595,1770.082032526,"22.3642427162141",3980,1539
"Abu Dhabi, UAE","en11rtiml_seconds","en11radz_d_clicked","1",162,1168.432081,11.0209187671176,0.885391712063598,1694.08969403845,"50.7128076386469",3980,1539
"Abu Dhabi, UAE","en11btiml_seconds","en11badz_d_clicked","0",1279,8732.20292799999,80.1117999325229,1.17863147757449,1921.83247360625,"22.8738653590519",3980,1566
"Abu Dhabi, UAE","en11btiml_seconds","en11badz_d_clicked","1",287,2167.817962,19.8882000674771,1.17863147757449,1791.57691466485,"45.7866464254804",3980,1566
"Abu Dhabi, UAE","en11ztiml_seconds","en11zadz_d_clicked","0",1285,8642.76170799999,80.7239288709454,1.29942621582748,1884.36549822519,"21.5629558573876",3980,1551
"Abu Dhabi, UAE","en11ztiml_seconds","en11zadz_d_clicked","1",266,2063.805513,19.2760711290546,1.29942621582748,1730.43796785032,"41.1215452992827",3980,1551
"Abu Dhabi, UAE","en11ttiml_seconds","en11tadz_d_clicked","0",1338,8982.08548499999,82.8307468751219,1.33914950798712,1781.22181766232,"25.1181020929335",3980,1568
"Abu Dhabi, UAE","en11ttiml_seconds","en11tadz_d_clicked","1",230,1861.81708,17.1692531248781,1.33914950798711,1687.99201254723,"51.5032501301931",3980,1568
"Abu Dhabi, UAE","en11mtimr_seconds","en11madz_d_clicked","0",1267,8576.61555299999,80.0937556775367,1.01686518708698,97.1007663817576,"6.63687502708539",3980,1547
"Abu Dhabi, UAE","en11mtimr_seconds","en11madz_d_clicked","1",280,2131.604433,19.9062443224632,1.01686518708698,84.6530180855558,"10.6400065904325",3980,1547
"Abu Dhabi, UAE","en11rtimr_seconds","en11radz_d_clicked","0",1377,9433.51595699999,88.9790812328824,0.885391712063595,123.16856103782,"9.06581799353526",3980,1539
"Abu Dhabi, UAE","en11rtimr_seconds","en11radz_d_clicked","1",162,1168.432081,11.0209187671176,0.885391712063598,117.897556044595,"19.2047695931157",3980,1539
"Abu Dhabi, UAE","en11btimr_seconds","en11badz_d_clicked","0",1279,8732.20292799999,80.1117999325229,1.17863147757449,95.7646890839639,"6.63832339020366",3980,1566
"Abu Dhabi, UAE","en11btimr_seconds","en11badz_d_clicked","1",287,2167.817962,19.8882000674771,1.17863147757449,99.691589241477,"16.3818984966404",3980,1566
"Abu Dhabi, UAE","en11ztimr_seconds","en11zadz_d_clicked","0",1285,8642.76170799999,80.7239288709454,1.29942621582748,105.976336906662,"8.65743124387219",3980,1551
