"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","en11Totaltims_seconds","(Intercept)",3980,3980,3471.74056389338,39.3014017381276,88.3363038047908,"101.312481864479",0,0.0183356917709026
"Abu Dhabi, UAE","en11Totaltims_seconds","adClickTotal_d_clicked1",3980,3980,-270.055044819389,55.3681502102516,-4.87744386969582,"50.3877035313921",1.11752025374657e-05,0.0183356917709026
"Abu Dhabi, UAE","en11Totaltiml_seconds","(Intercept)",3980,3973,3682.67244063539,42.3448635249248,86.9685750307759,"142.924605246737",0,0.017308257937001
"Abu Dhabi, UAE","en11Totaltiml_seconds","adClickTotal_d_clicked1",3980,3973,-271.082801631912,65.5767179184116,-4.13382691657708,"47.309034389947",0.000144735229309072,0.017308257937001
"Abu Dhabi, UAE","en11Totaltimr_seconds","(Intercept)",3980,3973,213.430381138475,12.6429326308522,16.8813982776153,"56.518971642994",0,0.000207058167299286
"Abu Dhabi, UAE","en11Totaltimr_seconds","adClickTotal_d_clicked1",3980,3973,10.1313165251286,23.8448191379458,0.424885442263891,"20.0028579702976",0.6754557045683,0.000207058167299286
"Dubai, UAE","en11Totaltims_seconds","(Intercept)",7521,7470,3350.5987393028,15.1119268558256,221.718829853332,"82.6764820786942",0,0.000286784573043467
"Dubai, UAE","en11Totaltims_seconds","adClickTotal_d_clicked1",7521,7470,-37.6886960800193,39.4287296438077,-0.955868891047023,"52.1437746756966",0.343549227127826,0.000286784573043467
"Dubai, UAE","en11Totaltiml_seconds","(Intercept)",7521,7469,3647.99883734985,20.4125965817441,178.713120731168,"73.3280571372305",0,4.89881499712087e-05
"Dubai, UAE","en11Totaltiml_seconds","adClickTotal_d_clicked1",7521,7469,-16.4977559338961,40.7716280229772,-0.404638145050246,"47.4470100113065",0.687561960278924,4.89881499712087e-05
"Dubai, UAE","en11Totaltimr_seconds","(Intercept)",7521,7469,303.087516491806,11.0142015513759,27.5178836230705,"61.150136268933",0,0.00034707059804157
"Dubai, UAE","en11Totaltimr_seconds","adClickTotal_d_clicked1",7521,7469,22.0183840597208,13.9469933130182,1.57871905188115,"79.4788012205073",0.118372511048614,0.00034707059804157
