"IDCNTRY","YVar","EqVar","n0","nUsed","coef","se","t","dof","pVal","r2"
"Abu Dhabi, UAE","en11mtims_seconds","(Intercept)",3980,1555,1829.47517029896,21.3564778512407,85.6637121084397,"59.0531793412863",0,0.00865370034626651
"Abu Dhabi, UAE","en11mtims_seconds","en11madz_d_clicked1",3980,1555,-112.999855202545,41.4369680259557,-2.72703000691951,"74.1216478253104",0.00797277285084249,0.00865370034626651
"Abu Dhabi, UAE","en11rtims_seconds","(Intercept)",3980,1546,1644.62431583074,20.8232549087887,78.9801749550986,"125.195562911885",0,0.00179651233813363
"Abu Dhabi, UAE","en11rtims_seconds","en11radz_d_clicked1",3980,1546,-68.4321778368827,49.6897424802465,-1.37718922298877,"100.793744186749",0.171504550958442,0.00179651233813363
"Abu Dhabi, UAE","en11btims_seconds","(Intercept)",3980,1572,1819.99286551394,21.8362885671952,83.3471704641294,"99.5313336595786",0,0.0100203541261477
"Abu Dhabi, UAE","en11btims_seconds","en11badz_d_clicked1",3980,1572,-128.270436892436,38.6743424251158,-3.31668048760758,"150.502596927837",0.00114198690102739,0.0100203541261477
"Abu Dhabi, UAE","en11ztims_seconds","(Intercept)",3980,1564,1770.72698852024,20.5876404981421,86.0092242566622,"68.6417480086977",0,0.0141775425491381
"Abu Dhabi, UAE","en11ztims_seconds","en11zadz_d_clicked1",3980,1564,-151.491801614038,33.3428063021464,-4.54346284596585,"152.292716022002",1.1193860927436e-05,0.0141775425491381
"Abu Dhabi, UAE","en11ttims_seconds","(Intercept)",3980,1573,1655.26140281857,23.25751104274,71.1710466256137,"116.580079336241",0,0.00712089258791301
"Abu Dhabi, UAE","en11ttims_seconds","en11tadz_d_clicked1",3980,1573,-119.815792975083,48.8398603712198,-2.4532378279625,"71.5108637688728",0.0165969429737759,0.00712089258791301
"Abu Dhabi, UAE","en11mtiml_seconds","(Intercept)",3980,1547,1927.68726531645,22.8988716364962,84.1826311757697,"61.1490971969436",0,0.00977028281998558
"Abu Dhabi, UAE","en11mtiml_seconds","en11madz_d_clicked1",3980,1547,-123.02047680024,44.8971651905012,-2.74004998485444,"65.7691985133733",0.00789983154750546,0.00977028281998558
"Abu Dhabi, UAE","en11rtiml_seconds","(Intercept)",3980,1539,1770.082032526,22.3642427162126,79.1478636226215,"141.050788045696",0,0.00209464552434892
"Abu Dhabi, UAE","en11rtiml_seconds","en11radz_d_clicked1",3980,1539,-75.9923384875483,48.3600464138267,-1.57138679804536,"123.646604689889",0.118648322770988,0.00209464552434892
"Abu Dhabi, UAE","en11btiml_seconds","(Intercept)",3980,1566,1921.83247360626,22.8738653590537,84.0187018433061,"123.949089398008",0,0.01005190302185
"Abu Dhabi, UAE","en11btiml_seconds","en11badz_d_clicked1",3980,1566,-130.255558941404,42.6811434300738,-3.05182917966587,"99.4904265015525",0.00291671168401706,0.01005190302185
"Abu Dhabi, UAE","en11ztiml_seconds","(Intercept)",3980,1551,1884.3654982252,21.5629558573856,87.3890161760814,"87.0720816492859",0,0.0143842798622834
"Abu Dhabi, UAE","en11ztiml_seconds","en11zadz_d_clicked1",3980,1551,-153.927530374871,37.8529989324588,-4.06645535931049,"111.11896063163",8.94562195259741e-05,0.0143842798622834
"Abu Dhabi, UAE","en11ttiml_seconds","(Intercept)",3980,1568,1781.22181766233,25.1181020929329,70.9138696495498,"126.866942050883",0,0.00416022518107492
"Abu Dhabi, UAE","en11ttiml_seconds","en11tadz_d_clicked1",3980,1568,-93.2298051150878,47.4961250925388,-1.96289286617475,"87.6795447631183",0.0528287009899135,0.00416022518107492
"Abu Dhabi, UAE","en11mtimr_seconds","(Intercept)",3980,1547,97.100766381758,6.63687502708541,14.6304949220055,"52.1683569111644",0,0.000973891118481211
"Abu Dhabi, UAE","en11mtimr_seconds","en11madz_d_clicked1",3980,1547,-12.4477482962016,10.6830711254254,-1.16518444462812,"71.0963242457657",0.247838847005221,0.000973891118481211
"Abu Dhabi, UAE","en11rtimr_seconds","(Intercept)",3980,1539,123.16856103782,9.06581799353505,13.5860394644646,"47.4099385977847",0,5.97128744640682e-05
"Abu Dhabi, UAE","en11rtimr_seconds","en11radz_d_clicked1",3980,1539,-5.2710049932249,19.7979849958755,-0.266239468022781,"50.8538843633931",0.791131318940858,5.97128744640682e-05
"Abu Dhabi, UAE","en11btimr_seconds","(Intercept)",3980,1566,95.7646890839646,6.63832339020359,14.4260355295869,"58.5934526207632",0,8.77108666182274e-05
"Abu Dhabi, UAE","en11btimr_seconds","en11badz_d_clicked1",3980,1566,3.92690015751308,15.0451245693236,0.261008151804863,"24.7516038028809",0.796245662310012,8.77108666182274e-05
"Abu Dhabi, UAE","en11ztimr_seconds","(Intercept)",3980,1551,105.976336906662,8.65743124387199,12.2410832868786,"58.7233806858694",0,2.24629326421645e-06
"Abu Dhabi, UAE","en11ztimr_seconds","en11zadz_d_clicked1",3980,1551,0.747301711218412,16.1671235332245,0.046223541849152,"47.2257973902389",0.963326993278073,2.24629326421645e-06
"Abu Dhabi, UAE","en11ttimr_seconds","(Intercept)",3980,1568,125.750667718679,10.4775038126751,12.001968213703,"67.3537112500906",0,0.00181588696277731
"Abu Dhabi, UAE","en11ttimr_seconds","en11tadz_d_clicked1",3980,1568,24.5087950428298,20.162703613946,1.21555102490708,"54.2241181511609",0.229421906298131,0.00181588696277731
